id;name;nickname;weight_class;wins;losses;draws;win_rate;ufc_fights
1;Aaron Simpson;A-Train;Middleweight Bout;7;4;0;0.636;11
2;Abel Trujillo;Killa;Lightweight Bout;6;4;0;0.6;11
3;Adrian Yanez;-;Bantamweight Bout;6;3;0;0.667;9
4;Aiemann Zahabi;-;Bantamweight Bout;8;2;0;0.8;10
5;Ailin Perez;Fiona;Women's Bantamweight Bout;5;1;0;0.833;6
6;Al Iaquinta;Raging;Lightweight Bout;9;6;0;0.6;15
7;Alan Belcher;The Talent;Middleweight Bout;9;6;0;0.6;15
8;Alan Jouban;Brahma;Welterweight Bout;8;5;0;0.615;13
9;Albert Tumenov;Einstein;Welterweight Bout;5;3;0;0.625;8
10;Alejandro Perez;Turbo;Bantamweight Bout;8;4;1;0.615;13
11;Alex Pereira;Poatan;UFC Light Heavyweight Title Bout;10;2;0;0.833;12
12;Alexander Volkanovski;The Great;UFC Featherweight Title Bout;14;3;0;0.824;17
13;Alexander Volkov;Drago;Heavyweight Bout;13;5;0;0.722;18
14;Alexandr Romanov;King Kong;Heavyweight Bout;7;3;0;0.7;10
15;Alexandre Pantoja;The Cannibal;Flyweight Bout;14;4;0;0.778;18
16;Alistair Overeem;The Demolition Man;Heavyweight Bout;12;8;0;0.6;20
17;Aljamain Sterling;Funk Master;Bantamweight Bout;17;5;0;0.773;22
18;Allan Nascimento;Puro Osso;Flyweight Bout;4;1;0;0.8;5
19;Amanda Lemos;-;Women's Strawweight Bout;9;5;0;0.643;14
20;Amanda Nunes;The Lioness;UFC Women's Bantamweight Title Bout;16;2;0;0.889;18
21;Amir Albazi;The Prince;Flyweight Bout;5;1;0;0.833;6
22;Anderson Silva;The Spider;UFC Middleweight Title Bout;17;7;0;0.708;25
23;Andre Muniz;Sergipano;Middleweight Bout;6;4;0;0.6;10
24;Andre Petroski;-;Middleweight Bout;8;4;0;0.667;12
25;Anthony Hernandez;Fluffy;Middleweight Bout;9;2;0;0.818;11
26;Anthony Johnson;Rumble;Welterweight Bout;13;6;0;0.684;19
27;Anthony Rocco Martin;-;Lightweight Bout;9;6;0;0.6;15
28;Arman Tsarukyan;Ahalkalakets;Lightweight Bout;10;2;0;0.833;12
29;Arnold Allen;Almighty;Featherweight Bout;11;2;0;0.846;13
30;Askar Askarov;Bullet;Flyweight Bout;3;1;1;0.6;5
31;Asu Almabayev;Zulfikar;Flyweight Bout;6;1;0;0.857;7
32;Azamat Murzakanov;The Professional;Light Heavyweight Bout;6;0;0;1.0;6
33;Belal Muhammad;Remember the Name;Welterweight Bout;15;5;0;0.75;21
34;Beneil Dariush;-;Lightweight Bout;17;7;1;0.68;25
35;Benoit Saint Denis;God of War;Lightweight Bout;8;3;0;0.727;11
36;Benson Henderson;Smooth;Lightweight Bout;11;3;0;0.786;14
37;Bo Nickal;-;Middleweight Bout;5;1;0;0.833;6
38;Bogdan Guskov;Hitman;Light Heavyweight Bout;4;1;1;0.667;6
39;Brad Blackburn;Bad Brad;Welterweight Bout;3;2;0;0.6;5
40;Brendan Allen;All In;Middleweight Bout;14;4;0;0.778;18
41;Brett Johns;The Pikey;Bantamweight Bout;5;2;0;0.714;7
42;Brian Ebersole;Bad Boy;Welterweight Bout;5;3;0;0.625;8
43;Brian Foster;The Foster Boy;Welterweight Bout;3;2;0;0.6;5
44;Brian Ortega;T-City;Featherweight Bout;8;5;0;0.615;14
45;Brunno Ferreira;The Hulk;Middleweight Bout;6;2;0;0.75;8
46;Bryan Battle;The Butcher;Welterweight Bout;7;1;0;0.875;9
47;Bryan Caraway;Kid Lightning;Bantamweight Bout;6;4;0;0.6;10
48;Bryce Mitchell;Thug Nasty;Featherweight Bout;9;3;0;0.75;12
49;Cain Velasquez;-;Heavyweight Bout;12;3;0;0.8;15
50;Caio Borralho;The Natural;Middleweight Bout;7;1;0;0.875;8
51;Carla Esparza;Cookie Monster;Women's Strawweight Bout;10;6;0;0.625;16
52;Carlos Felipe;Boi;Heavyweight Bout;3;2;0;0.6;5
53;Carlos Prates;The Nightmare;Welterweight Bout;6;1;0;0.857;7
54;Carlos Ulberg;Black Jag;Light Heavyweight Bout;9;1;0;0.9;10
55;Casey Kenney;-;Bantamweight Bout;5;3;0;0.625;8
56;Casey O'Neill;King;Women's Flyweight Bout;5;2;0;0.714;7
57;Cathal Pendred;The Punisher;Welterweight Bout;4;2;0;0.667;6
58;Cesar Almeida;Cesinha;Middleweight Bout;3;2;0;0.6;5
59;Cezar Ferreira;Mutante;Middleweight Bout;9;6;0;0.6;15
60;Chad Laprise;The Disciple;Lightweight Bout;6;4;0;0.6;10
61;Chad Mendes;Money;Featherweight Bout;9;5;0;0.643;14
62;Charles Oliveira;Do Bronxs;Lightweight Bout;24;11;0;0.686;36
63;Charles Radtke;Chuck Buffalo;Welterweight Bout;4;2;0;0.667;6
64;Chas Skelly;The Scrapper;Featherweight Bout;8;3;0;0.727;12
65;Chase Hooper;The Dream;Lightweight Bout;8;4;0;0.667;12
66;Cheick Kongo;-;Heavyweight Bout;11;6;1;0.611;18
67;Chepe Mariscal;Machine Gun;Featherweight Bout;5;1;0;0.833;6
68;Chris Curtis;Action-Man;Middleweight Bout;6;4;0;0.6;11
69;Chris Duncan;The Problem;Lightweight Bout;6;1;0;0.857;7
70;Chris Gutierrez;El Guapo;Bantamweight Bout;10;4;1;0.667;15
71;Chris Wade;-;Lightweight Bout;5;2;0;0.714;7
72;Chris Weidman;The All-American;Middleweight Bout;12;8;0;0.6;20
73;Christian Leroy Duncan;CLD;Middleweight Bout;6;2;0;0.75;8
74;Chuck Liddell;The Iceman;Light Heavyweight Bout;16;7;0;0.696;23
75;Ciryl Gane;Bon Gamin;Heavyweight Bout;10;2;0;0.833;13
76;Claudio Silva;Hannibal;Welterweight Bout;5;3;0;0.625;8
77;Colby Covington;Chaos;Welterweight Bout;12;5;0;0.706;17
78;Conor McGregor;The Notorious;Featherweight Bout;10;4;0;0.714;14
79;Constantinos Philippou;-;Middleweight Bout;6;4;0;0.6;10
80;Corey Anderson;Overtime;Light Heavyweight Bout;10;5;0;0.667;15
81;Cory Sandhagen;-;Bantamweight Bout;11;5;0;0.688;16
82;Cristiane Justino;Cyborg;UFC Women's Featherweight Title Bout;6;1;0;0.857;7
83;Cub Swanson;-;Featherweight Bout;15;10;0;0.6;25
84;Curtis Blaydes;Razor;Heavyweight Bout;14;5;0;0.737;20
85;Curtis Millender;Curtious;Welterweight Bout;3;2;0;0.6;5
86;Damir Ismagulov;Qazaq;Lightweight Bout;5;2;0;0.714;7
87;Dan Hardy;The Outlaw;Welterweight Bout;6;4;0;0.6;10
88;Dan Hooker;The Hangman;Lightweight Bout;14;9;0;0.609;23
89;Dan Severn;The Beast;Open Weight Bout;9;4;0;0.692;13
90;Daniel Cormier;DC;UFC Light Heavyweight Title Bout;11;3;0;0.786;15
91;Daniel Kelly;-;Middleweight Bout;6;4;0;0.6;10
92;Daniel Marcos;Soncora;Bantamweight Bout;5;1;0;0.833;7
93;Daniel Rodriguez;D-Rod;Welterweight Bout;10;4;0;0.714;14
94;Daniel Santos;Willycat;Catch Weight Bout;4;1;0;0.8;5
95;Darren Elkins;The Damage;Featherweight Bout;19;11;0;0.633;30
96;David Onama;-;Featherweight Bout;6;3;0;0.667;9
97;David Teymur;-;Lightweight Bout;5;1;0;0.833;6
98;Dean Lister;The Boogeyman;Middleweight Bout;4;2;0;0.667;6
99;Deiveson Figueiredo;Deus da Guerra;Flyweight Bout;14;5;1;0.7;20
100;Demetrious Johnson;Mighty Mouse;UFC Flyweight Title Bout;15;2;1;0.833;18
101;Demian Maia;-;Welterweight Bout;22;11;0;0.667;33
102;Denise Gomes;Dee;Women's Strawweight Bout;6;2;0;0.75;8
103;Dennis Siver;-;Lightweight Bout;12;8;0;0.6;21
104;Derek Brunson;The One;Middleweight Bout;14;7;0;0.667;21
105;Derrick Lewis;The Black Beast;Heavyweight Bout;20;10;0;0.667;30
106;Diego Brandao;DB;Featherweight Bout;6;4;0;0.6;10
107;Diego Lopes;-;Featherweight Bout;6;2;0;0.75;8
108;Dominick Cruz;The Dominator;UFC Bantamweight Title Bout;7;3;0;0.7;10
109;Dominick Reyes;The Devastator;Light Heavyweight Bout;9;5;0;0.643;14
110;Don Frye;The Predator;Open Weight Bout;9;1;0;0.9;10
111;Donald Cerrone;Cowboy;Lightweight Bout;23;14;0;0.622;38
112;Dong Hyun Kim;Stun Gun;Welterweight Bout;13;4;0;0.765;18
113;Drakkar Klose;-;Lightweight Bout;10;3;0;0.769;13
114;Dricus Du Plessis;Stillknocks;Middleweight Bout;9;1;0;0.9;10
115;Dustin Poirier;The Diamond;Lightweight Bout;22;9;0;0.71;32
116;Edmen Shahbazyan;The Golden Boy;Middleweight Bout;9;5;0;0.643;14
117;Elias Silverio;Xuxu;Lightweight Bout;3;2;0;0.6;5
118;Elias Theodorou;The Spartan;Middleweight Bout;8;3;0;0.727;11
119;Elizeu Zaleski dos Santos;Capoeira;Welterweight Bout;11;6;1;0.611;18
120;Enrique Barzola;El Fuerte;Featherweight Bout;6;3;1;0.6;10
121;Erik Perez;Goyito;Bantamweight Bout;7;2;0;0.778;9
122;Erin Blanchfield;Cold Blooded;Women's Flyweight Bout;8;1;0;0.889;9
123;Esteban Ribovics;El Gringo;Lightweight Bout;4;2;0;0.667;6
124;Evan Elder;The Phenom;Lightweight Bout;3;2;0;0.6;5
125;Evan Tanner;-;Middleweight Bout;11;6;0;0.647;17
126;Fabricio Werdum;Vai Cavalo;Heavyweight Bout;12;6;0;0.667;18
127;Fares Ziam;The Smile Killer;Lightweight Bout;8;2;0;0.8;10
128;Farid Basharat;Ferocious;Bantamweight Bout;5;0;0;1.0;5
129;Forrest Griffin;-;Light Heavyweight Bout;10;5;0;0.667;15
130;Francis Carmont;Limitless;Middleweight Bout;6;3;0;0.667;9
131;Francis Ngannou;The Predator;Heavyweight Bout;12;2;0;0.857;14
132;Francisco Trinaldo;Massaranduba;Lightweight Bout;18;8;0;0.692;26
133;Frank Shamrock;-;UFC Light Heavyweight Title Bout;5;0;0;1.0;5
134;Frankie Edgar;The Answer;Featherweight Bout;18;11;1;0.6;30
135;Gabriel Bonfim;Marretinha;Welterweight Bout;6;1;0;0.857;7
136;Gabriella Fernandes;Gabi;Women's Flyweight Bout;3;2;0;0.6;5
137;Gegard Mousasi;-;Middleweight Bout;9;3;0;0.75;12
138;Geoff Neal;Handz of Steel;Welterweight Bout;8;5;0;0.615;13
139;George Sotiropoulos;-;Lightweight Bout;7;4;0;0.636;11
140;Georges St-Pierre;Rush;UFC Welterweight Title Bout;20;2;0;0.909;22
141;Germaine de Randamie;The Iron Lady;Women's Bantamweight Bout;7;3;0;0.7;10
142;Giga Chikadze;Ninja;Featherweight Bout;8;4;0;0.667;12
