fighter_id;opponent;event;weight_class;result;method;round;sig_landed;sig_taken
254;Brandon Royval;UFC Fight Night: Royval vs. Kape;Flyweight Bout;W;KO/TKO;1;17;17
142;Kevin Vallejos;UFC Fight Night: Royval vs. Kape;Featherweight Bout;L;KO/TKO;2;12;20
58;Cezary Oleksiejczuk;UFC Fight Night: Royval vs. Kape;Middleweight Bout;L;Decision - Unanimous;3;12;14
281;Morgan Charriere;UFC Fight Night: Royval vs. Kape;Featherweight Bout;W;KO/TKO;1;4;2
314;Yaroslav Amosov;UFC Fight Night: Royval vs. Kape;Welterweight Bout;L;Submission;1;5;9
189;Isaac Thomson;UFC Fight Night: Royval vs. Kape;Featherweight Bout;W;Decision - Unanimous;3;33;21
243;Melissa Croden;UFC Fight Night: Royval vs. Kape;Women's Bantamweight Bout;W;Decision - Unanimous;3;12;22
175;Tereza Bleda;UFC Fight Night: Royval vs. Kape;Women's Flyweight Bout;W;KO/TKO;1;16;2
283;Petr Yan;UFC 323: Dvalishvili vs. Yan 2;UFC Bantamweight Title Bout;L;Decision - Unanimous;5;134;139
331;Merab Dvalishvili;UFC 323: Dvalishvili vs. Yan 2;UFC Bantamweight Title Bout;W;Decision - Unanimous;5;139;134
15;Joshua Van;UFC 323: Dvalishvili vs. Yan 2;UFC Flyweight Title Bout;L;KO/TKO;1;6;2
211;Alexandre Pantoja;UFC 323: Dvalishvili vs. Yan 2;UFC Flyweight Title Bout;W;KO/TKO;1;2;6
409;Brandon Moreno;UFC 323: Dvalishvili vs. Yan 2;Flyweight Bout;W;KO/TKO;2;28;9
152;Payton Talbott;UFC 323: Dvalishvili vs. Yan 2;Bantamweight Bout;L;Decision - Unanimous;3;60;134
329;Henry Cejudo;UFC 323: Dvalishvili vs. Yan 2;Bantamweight Bout;W;Decision - Unanimous;3;134;60
38;Jan Blachowicz;UFC 323: Dvalishvili vs. Yan 2;Light Heavyweight Bout;D;Decision - Majority;3;80;84
146;Manuel Torres;UFC 323: Dvalishvili vs. Yan 2;Lightweight Bout;L;KO/TKO;1;8;9
257;Grant Dawson;UFC 323: Dvalishvili vs. Yan 2;Lightweight Bout;W;KO/TKO;1;9;8
69;Terrance McKinney;UFC 323: Dvalishvili vs. Yan 2;Lightweight Bout;W;Submission;1;38;31
279;Karine Silva;UFC 323: Dvalishvili vs. Yan 2;Women's Flyweight Bout;W;Decision - Unanimous;3;55;21
220;Maycee Barber;UFC 323: Dvalishvili vs. Yan 2;Women's Flyweight Bout;L;Decision - Unanimous;3;21;55
313;Fares Ziam;UFC 323: Dvalishvili vs. Yan 2;Lightweight Bout;L;KO/TKO;2;4;31
127;Nazim Sadykhov;UFC 323: Dvalishvili vs. Yan 2;Lightweight Bout;W;KO/TKO;2;31;4
45;Marvin Vettori;UFC 323: Dvalishvili vs. Yan 2;Middleweight Bout;W;Decision - Unanimous;3;77;88
303;Mairon Santos;UFC 323: Dvalishvili vs. Yan 2;Featherweight Bout;L;KO/TKO;3;18;27
28;Dan Hooker;UFC Fight Night: Tsarukyan vs. Hooker;Lightweight Bout;W;Submission;2;42;10
88;Arman Tsarukyan;UFC Fight Night: Tsarukyan vs. Hooker;Lightweight Bout;L;Submission;2;10;42
33;Ian Machado Garry;UFC Fight Night: Tsarukyan vs. Hooker;Welterweight Bout;L;Decision - Unanimous;3;56;72
155;Belal Muhammad;UFC Fight Night: Tsarukyan vs. Hooker;Welterweight Bout;W;Decision - Unanimous;3;72;56
305;Jack Hermansson;UFC Fight Night: Tsarukyan vs. Hooker;Welterweight Bout;W;KO/TKO;1;15;19
432;Shamil Gaziev;UFC Fight Night: Tsarukyan vs. Hooker;Heavyweight Bout;W;KO/TKO;1;10;6
393;Waldo Cortes Acosta;UFC Fight Night: Tsarukyan vs. Hooker;Heavyweight Bout;L;KO/TKO;1;6;10
407;Kyoji Horiguchi;UFC Fight Night: Tsarukyan vs. Hooker;Flyweight Bout;L;Submission;3;6;49
233;Tagir Ulanbekov;UFC Fight Night: Tsarukyan vs. Hooker;Flyweight Bout;W;Submission;3;49;6
31;Alex Perez;UFC Fight Night: Tsarukyan vs. Hooker;Flyweight Bout;W;Submission;3;36;40
163;Islam Makhachev;UFC 322: Della Maddalena vs. Makhachev;UFC Welterweight Title Bout;L;Decision - Unanimous;5;18;30
160;Jack Della Maddalena;UFC 322: Della Maddalena vs. Makhachev;UFC Welterweight Title Bout;W;Decision - Unanimous;5;30;18
425;Zhang Weili;UFC 322: Della Maddalena vs. Makhachev;UFC Women's Flyweight Title Bout;W;Decision - Unanimous;5;41;32
444;Valentina Shevchenko;UFC 322: Della Maddalena vs. Makhachev;UFC Women's Flyweight Title Bout;L;Decision - Unanimous;5;32;41
384;Michael Morales;UFC 322: Della Maddalena vs. Makhachev;Welterweight Bout;L;KO/TKO;1;8;24
287;Sean Brady;UFC 322: Della Maddalena vs. Makhachev;Welterweight Bout;W;KO/TKO;1;24;8
236;Carlos Prates;UFC 322: Della Maddalena vs. Makhachev;Welterweight Bout;L;KO/TKO;2;12;21
53;Leon Edwards;UFC 322: Della Maddalena vs. Makhachev;Welterweight Bout;W;KO/TKO;2;21;12
34;Benoit Saint Denis;UFC 322: Della Maddalena vs. Makhachev;Lightweight Bout;L;KO/TKO;1;3;3
35;Beneil Dariush;UFC 322: Della Maddalena vs. Makhachev;Lightweight Bout;W;KO/TKO;1;3;3
37;Rodolfo Vieira;UFC 322: Della Maddalena vs. Makhachev;Middleweight Bout;W;KO/TKO;3;77;24
365;Bo Nickal;UFC 322: Della Maddalena vs. Makhachev;Middleweight Bout;L;KO/TKO;3;24;77
